,id,premium,name,department,has_test,response_letter_required,area,salary,type,address,published_at,insider_interview,url,employer,snippet,working_days,working_time_intervals,working_time_modes,accept_temporary,professional_roles,accept_incomplete_resumes,lng,lati,Density,published_at_date,OblastiRF,lngi,Count_word
530,78321844,0,Оператор ЭВМ,,0,0,Новоалтайск,30000.0,1,"{'city': 'Новоалтайск', 'street': 'улица XXII Партсъезда', 'building': '16', 'lat': 53.393456, 'lng': 83.940592, 'description': None, 'raw': 'Новоалтайск, улица XXII Партсъезда, 16', 'metro': None, 'metro_stations': [], 'id': '5420894'}",2023-03-21T05:38:59+0300,,https://api.hh.ru/vacancies/78321844?host=hh.ru,Алтайвагон,Среднее/высшее профессиональное образование. Должен знать: Правила эксплуатации ЭВМ и обслуживания ксерокса. Правила орфографии и пунктуации. Правила ведения делопроизводства. ,,,,0,"Оператор ПК, оператор базы данных",0,83.940592,53.393456,70438.0,2023-03-21,Алтайский край,83.940592,18
531,78326095,0,Менеджер по персоналу,,0,0,Челябинск,50000.0,1,"{'city': None, 'street': None, 'building': None, 'lat': None, 'lng': None, 'description': None, 'raw': 'г. Челябинск, ул. Труда, 153', 'metro': None, 'metro_stations': [], 'id': '251911'}",2023-03-21T08:01:04+0300,,https://api.hh.ru/vacancies/78326095?host=hh.ru,Малахит,Знание кадрового делопроизводства. Знание методов подбора персонала на разные позиции. Опыт работы с системой управления охраной труда.,,,,0,Менеджер по персоналу,0,,,1130273.0,2023-03-21,Челябинская область,,17
532,78331227,0,Водитель автомобиля,,0,0,Тюмень,37000.0,1,"{'city': 'посёлок городского типа Богандинский', 'street': 'улица Кирова', 'building': '10А', 'lat': 56.870701, 'lng': 65.86727, 'description': None, 'raw': 'посёлок городского типа Богандинский, улица Кирова, 10А', 'metro': None, 'metro_stations': [], 'id': '2375156'}",2023-03-21T09:38:45+0300,,https://api.hh.ru/vacancies/78331227?host=hh.ru,Стеклотех,Требования по должности... Наличие водительского удостоверения категории В. Опыт работы водителем автомобиля от 1 года.,,,,0,Водитель,0,65.86727,56.870701,581758.0,2023-03-21,Тюменская область,65.86727,15
533,78332698,0,Диспетчер,,0,0,Санкт-Петербург,80000.0,1,"{'city': 'Санкт-Петербург', 'street': 'Московский проспект', 'building': '97', 'lat': 59.893308, 'lng': 30.31673, 'description': None, 'raw': 'Санкт-Петербург, Московский проспект, 97', 'metro': None, 'metro_stations': [], 'id': '5751569'}",2023-03-21T09:58:18+0300,,https://api.hh.ru/vacancies/78332698?host=hh.ru,ТЛЦ,"Опыт работы в контейнерных перевозках, будет преимуществом. Уверенный пользователь ПК: MS Office, 1С. Работа в режиме многозадачности. ",,,,0,Диспетчер,0,30.31673,59.893308,4848742.0,2023-03-21,Санкт-Петербург,30.31673,17
534,77236116,0,Junior Python Backend Developer,,0,0,Санкт-Петербург,60000.0,1,0,2023-03-19T18:06:20+0300,,https://api.hh.ru/vacancies/77236116?host=hh.ru,АпТрейдер (UpTrader),Уверенное знание python. Уверенное знание django и DRF. Опыт работы с git. Опыт работы с PostgreSQL и умение писать SQL...,,,,0,"Программист, разработчик",0,,,4848742.0,2023-03-19,Санкт-Петербург,0.0,20
535,77593988,0,Специалист отдела документационного обеспечения,,0,0,Москва,55000.0,1,"{'city': 'Москва', 'street': 'Волгоградский проспект', 'building': '27', 'lat': 55.724114, 'lng': 37.693103, 'description': None, 'raw': 'Москва, Волгоградский проспект, 27', 'metro': {'station_name': 'Волгоградский проспект', 'line_name': 'Таганско-Краснопресненская', 'station_id': '7.31', 'line_id': '7', 'lat': 55.725546, 'lng': 37.685197}, 'metro_stations': [{'station_name': 'Волгоградский проспект', 'line_name': 'Таганско-Краснопресненская', 'station_id': '7.31', 'line_id': '7', 'lat': 55.725546, 'lng': 37.685197}], 'id': '7680734'}",2023-03-02T12:36:12+0300,,https://api.hh.ru/vacancies/77593988?host=hh.ru,Территориальный орган Федеральной службы по надзору в сфере здравоохранения по г. Москве и Московской области,"Умение оперативно обрабатывать большой объем информации. Знание делового этикета, грамотная письменная и устная речь. Уверенный пользователь ПК и офисной техники.",,,,0,"Делопроизводитель, архивариус",0,37.693103,55.724114,11514330.0,2023-03-02,Москва,37.693103,20
536,78162358,0,QA Engineer (Junior)|Тестировщик ПО,,0,0,Москва,50000.0,1,0,2023-03-17T08:35:46+0300,,https://api.hh.ru/vacancies/78162358?host=hh.ru,ENGY,"Опыт работы в тестировании 0.5-1 год. Высшее образование. Опыт тестирования веб-приложений, win и linux приложений. ",,,,0,Тестировщик,0,,,11514330.0,2023-03-17,Москва,0.0,15
537,78231777,0,Менеджер по заселению в апарт-отель,,0,0,Москва,87500.0,1,0,2023-03-18T16:25:05+0300,,https://api.hh.ru/vacancies/78231777?host=hh.ru,Мамаров Владислав Андреевич,Ухоженный внешний вид. —Хорошие коммуникативный навыки. —Ответственность и внимательность.,,,,0,Хостес,1,,,11514330.0,2023-03-18,Москва,0.0,9
538,78281881,0,Координатор,,0,0,Чехов,65000.0,1,0,2023-03-20T14:11:27+0300,,https://api.hh.ru/vacancies/78281881?host=hh.ru,NF Group,"Знание программ MS Office. Ответственность, пунктуальность, презентабельность, высокие коммуникативные навыки. Дипломатичность, навыки урегулирования конфликтных ситуаций.",,,,0,Координатор отдела продаж,0,,,60677.0,2023-03-20,Московская область,0.0,15
539,78328294,0,Юрист,,0,0,Новосибирск,80000.0,1,"{'city': 'Новосибирск', 'street': 'улица Орджоникидзе', 'building': '37/1', 'lat': 55.032366, 'lng': 82.926871, 'description': None, 'raw': 'Новосибирск, улица Орджоникидзе, 37/1', 'metro': {'station_name': 'Площадь Ленина', 'line_name': 'Ленинская', 'station_id': '52.297', 'line_id': '52', 'lat': 55.029941, 'lng': 82.92069}, 'metro_stations': [{'station_name': 'Площадь Ленина', 'line_name': 'Ленинская', 'station_id': '52.297', 'line_id': '52', 'lat': 55.029941, 'lng': 82.92069}], 'id': '4192594'}",2023-03-21T08:52:17+0300,,https://api.hh.ru/vacancies/78328294?host=hh.ru,F5it,"Высшее юридическое образование (в приоритете НГУ, ТГУ, НЮИ(ф)ТГУ). Знания в области гарантийных обязательств (Гражданский кодекс, Налоговый кодекс, Технические...",,,,0,Юрист,0,82.926871,55.032366,1498921.0,2023-03-21,Новосибирская область,82.926871,18
